School,App_Link,Student_Page,Baseball_Coach,Baseball_Email,Basketball_Coach,Basketball_Email
Stanford University,https://admission.stanford.edu/apply/,https://vaden.stanford.edu/,David Esquer,desquer@stanford.edu,Kyle Smith,hoopsmasher@stanford.edu
UCLA,https://admission.ucla.edu/apply,https://my.ucla.edu/,John Savage,jsavage@athletics.ucla.edu,Mick Cronin,mcronin@athletics.ucla.edu
UC Berkeley (Cal),https://admissions.berkeley.edu/apply-to-berkeley/,https://calcentral.berkeley.edu/,Mike Neu,mneu@berkeley.edu,Mark Madsen,madsen_mark@berkeley.edu
USC,https://admission.usc.edu/apply/,https://my.usc.edu/,Andy Stankiewicz,stankiew@usc.edu,Eric Musselman,uschoops@usc.edu
San Diego State,https://admissions.sdsu.edu/apply,https://my.sdsu.edu/,Shaun Cole,scole@sdsu.edu,Brian Dutcher,bdutcher@sdsu.edu
UC San Diego,https://admissions.ucsd.edu/apply/,https://mytritonlink.ucsd.edu/,Eric Newman,ecnewman@ucsd.edu,Eric Olen,eolen@ucsd.edu
Cal Baptist,https://calbaptist.edu/admissions/apply,https://insidecbu.calbaptist.edu/,Gary Adcock,cbubaseball@calbaptist.edu,Rick Croy,rcroy@calbaptist.edu
University of San Diego,https://www.sandiego.edu/admissions/undergraduate/apply/,https://my.sandiego.edu/,Brock Ungricht,bungricht@sandiego.edu,Steve Lavin,slavin@sandiego.edu
Long Beach State,https://www.calstate.edu/apply,https://my.csulb.edu/,Bryan Peters (Interim),bryan.peters@csulb.edu,Chris Acker,chris.acker@csulb.edu
UC Irvine,https://admissions.uci.edu/apply/index.php,https://my.uci.edu/,Ben Orloff,borloff@uci.edu,Russell Turner,UCIMBB@uci.edu
Cal State Fullerton,https://www.calstate.edu/apply,https://my.fullerton.edu/,Jason Dietrich,jdietrich@fullerton.edu,Dedrique Taylor,detaylor@fullerton.edu
UC Santa Barbara,https://admissions.sa.ucsb.edu/apply,https://my.ucsb.edu/,Andrew Checketts,achecketts@ucsb.edu,Joe Pasternack,jpasternack@ucsb.edu
Pepperdine,https://seaver.pepperdine.edu/admissions/apply/,https://wave-net.pepperdine.edu/,Rick Hirtensteiner,rick.hirtensteiner@pepperdine.edu,Ed Schilling,ed.schilling@pepperdine.edu
Santa Clara University,https://www.scu.edu/admission/undergraduate/apply/,https://my.scu.edu/,Rusty Filter,rfilter@scu.edu,Herb Sendek,hsendek@scu.edu
Saint Mary's College,https://www.stmarys-ca.edu/admission-aid/apply,https://my.stmarys-ca.edu/,Eric Valenzuela,ejv1@stmarys-ca.edu,Randy Bennett,rbennett@stmarys-ca.edu
LMU,https://www.lmu.edu/admission/apply/,https://my.lmu.edu/,Donegal Fergus,donegal.fergus@lmu.edu,Stan Johnson,stan.johnson@lmu.edu
San Jose State,https://www.calstate.edu/apply,https://one.sjsu.edu/,Brad Sanfilippo,bradley.sanfilippo@sjsu.edu,Tim Miles,tim.miles@sjsu.edu
Fresno State,https://www.calstate.edu/apply,https://my.fresnostate.edu/,Ryan Overland,roverland@csufresno.edu,Vance Walberg,vwalberg@csufresno.edu
UC Davis,https://www.ucdavis.edu/admissions/undergraduate/apply,https://my.ucdavis.edu/,Tommy Nicholson,tnicholson@ucdavis.edu,Jim Les,jles@ucdavis.edu
Cal Poly SLO,https://www.calstate.edu/apply,https://my.calpoly.edu/,Larry Lee,llee@calpoly.edu,Mike DeGeorge,mdegeorge@calpoly.edu
CSU Northridge,https://www.calstate.edu/apply,https://my.csun.edu/,Eddie Cornejo,eddie.cornejo@csun.edu,Andy Newman,andy.newman@csun.edu
UC Riverside,https://admissions.ucr.edu/apply,https://rweb.ucr.edu/,Justin Johnson,justin.johnson@ucr.edu,Mike Magpayo,mike.magpayo@ucr.edu
Sacramento State,https://www.calstate.edu/apply,https://my.csus.edu/,Reggie Christiansen,rchristiansen@csus.edu,David Patrick,david.patrick@csus.edu
University of San Francisco,https://www.usfca.edu/admission/apply,https://myusf.usfca.edu/,Rob DiToma,rditoma@usfca.edu,Chris Gerlufsen,cgerlufsen@usfca.edu
University of the Pacific,https://www.pacific.edu/admission/apply,https://my.pacific.edu/,Chris Rodriguez,crodriguez@pacific.edu,Dave Smart,dsmart@pacific.edu
Cal State LA,https://www.calstate.edu/apply,https://my.calstatela.edu/,Vince Beringhele,vbering@calstatela.edu,Jim Saia,jsaia@calstatela.edu
CSU Monterey Bay,https://www.calstate.edu/apply,https://my.csumb.edu/,Walt White,wawhite@csumb.edu,Isaac Williams,iswilliams@csumb.edu
CSU San Bernardino,https://www.calstate.edu/apply,https://my.csusb.edu/,Mike Gelineau,mgelineau@csusb.edu,Gus Argenal,gus.argenal@csusb.edu
CSU San Marcos,https://www.calstate.edu/apply,https://my.csusm.edu/,Jose Garcia,jgarcia@csusm.edu,Nick Mingione,nmingione@csusm.edu
CSU Chico,https://www.calstate.edu/apply,https://my.csuchico.edu/,Dave Taylor,dtaylor@csuchico.edu,Greg Clink,gclink@csuchico.edu
CSU Dominguez Hills,https://www.calstate.edu/apply,https://my.csudh.edu/,Tyler Gatause,tgatause@csudh.edu,Steve Becker,sbecker@csudh.edu
Biola University,https://www.biola.edu/admission/apply,https://my.biola.edu/,Jeff Calhoon,jeff.calhoon@biola.edu,Dave Holmquist,dave.holmquist@biola.edu
Point Loma Nazarene,https://www.pointloma.edu/admissions-aid/apply,https://my.pointloma.edu/,Justin James,justinjames@pointloma.edu,Justin Mullens,jmullens@pointloma.edu
SF State,https://www.calstate.edu/apply,https://gateway.sfsu.edu/,Tony Schifano,schifano@sfsu.edu,Vince Inglima,inglima@sfsu.edu
Stanislaus State,https://www.calstate.edu/apply,https://my.csustan.edu/,Kenny Leonesio,kleonesio@csustan.edu,Paul Trevor,ptrevor@csustan.edu
Caltech,https://www.admissions.caltech.edu/apply,https://access.caltech.edu/,Kevin Whitehead,kwhitehead@caltech.edu,Dr. Oliver Eslinger,eslinger@caltech.edu
Cal Lutheran,https://www.callutheran.edu/admission/apply/,https://my.callutheran.edu/,Riley Conlan,rconlan@callutheran.edu,Russell White,ruwhite@callutheran.edu
Chapman University,https://www.chapman.edu/admission/apply/,https://my.chapman.edu/,Scott Laverty,laverty@chapman.edu,Mike DeGeorge,mdegeorge@chapman.edu
Occidental College,https://www.oxy.edu/admission-aid/apply,https://my.oxy.edu/,Matthew Curtis,mcurtis@oxy.edu,Brian Newhall,newhall@oxy.edu
Pomona-Pitzer,https://www.pomona.edu/admissions/apply,https://my.pomona.edu/,Frank Pericolosi,frank.pericolosi@pomona.edu,Charles Katsiaficas,ckatsiaficas@pomona.edu
UC Santa Cruz,https://admissions.ucsc.edu/apply,https://my.ucsc.edu/,Consult Directory,athletics@ucsc.edu,Matt Lowney,mlowney@ucsc.edu
University of La Verne,https://laverne.edu/admission/apply/,https://my.laverne.edu/,Scott Winterburn,swinterburn@laverne.edu,Richard Reed,rreed@laverne.edu
University of Redlands,https://www.redlands.edu/admission/apply/,https://my.redlands.edu/,Aaron Holley,aaron_holley@redlands.edu,Eric Bridgeland,eric_bridgeland@redlands.edu
Whittier College,https://www.whittier.edu/admission/apply,https://my.whittier.edu/,Mike Rizzo,mrizzo@whittier.edu,Mark DeCasas,mdecasas@whittier.edu
Master's University,https://www.masters.edu/apply,https://selfservice.masters.edu/,Monte Brooks,mbrooks@masters.edu,Kelvin Starr,kstarr@masters.edu
Hope International,https://www.hiu.edu/apply,https://my.hiu.edu/,Larry Brown,labrown@hiu.edu,Bill Czech,wczech@hiu.edu
Vanguard University,https://www.vanguard.edu/apply,https://my.vanguard.edu/,Rob Pegg,rob.pegg@vanguard.edu,Rhett Soliday,rsoliday@vanguard.edu
Jessup University,https://jessup.edu/apply,https://my.jessup.edu/,Trevor Paine,tpaine@jessup.edu,Mark Slessinger,mslessinger@jessup.edu
Simpson University,https://simpsonu.edu/apply,https://my.simpsonu.edu/,Consult Directory,athletics@simpsonu.edu,Todd Franklin,tfranklin@simpsonu.edu
American River College,https://www.cccapply.org/en/,https://www.americanriver.edu/students,Consult Directory,Visit americanriverathletics.com/directory,Consult Directory,Visit americanriverathletics.com/directory
Butte College,https://www.cccapply.org/en/,https://www.butte.edu/students,Consult Directory,Visit butteathletics.com/directory,Consult Directory,Visit butteathletics.com/directory
Canada College,https://www.cccapply.org/en/,https://www.canada.edu/students,Consult Directory,Visit canadaathletics.com/directory,Consult Directory,Visit canadaathletics.com/directory
Chabot College,https://www.cccapply.org/en/,https://www.chabot.edu/students,Consult Directory,Visit chabotathletics.com/directory,Consult Directory,Visit chabotathletics.com/directory
CCSF College,https://www.cccapply.org/en/,https://www.ccsf.edu/students,Consult Directory,Visit ccsfathletics.com/directory,Consult Directory,Visit ccsfathletics.com/directory
San Mateo College,https://www.cccapply.org/en/,https://www.sanmateo.edu/students,Consult Directory,Visit sanmateoathletics.com/directory,Consult Directory,Visit sanmateoathletics.com/directory
Contra Costa College,https://www.cccapply.org/en/,https://www.contracosta.edu/students,Consult Directory,Visit contracostaathletics.com/directory,Consult Directory,Visit contracostaathletics.com/directory
Cosumnes River College,https://www.cccapply.org/en/,https://www.cosumnesriver.edu/students,Consult Directory,Visit cosumnesriverathletics.com/directory,Consult Directory,Visit cosumnesriverathletics.com/directory
De Anza College,https://www.cccapply.org/en/,https://www.deanza.edu/students,Consult Directory,Visit deanzaathletics.com/directory,Consult Directory,Visit deanzaathletics.com/directory
Diablo Valley College,https://www.cccapply.org/en/,https://www.diablovalley.edu/students,Consult Directory,Visit diablovalleyathletics.com/directory,Consult Directory,Visit diablovalleyathletics.com/directory
Folsom Lake College,https://www.cccapply.org/en/,https://www.folsomlake.edu/students,Consult Directory,Visit folsomlakeathletics.com/directory,Consult Directory,Visit folsomlakeathletics.com/directory
Fresno City College,https://www.cccapply.org/en/,https://www.fresnocity.edu/students,Consult Directory,Visit fresnocityathletics.com/directory,Consult Directory,Visit fresnocityathletics.com/directory
Hartnell College,https://www.cccapply.org/en/,https://www.hartnell.edu/students,Consult Directory,Visit hartnellathletics.com/directory,Consult Directory,Visit hartnellathletics.com/directory
Laney College,https://www.cccapply.org/en/,https://www.laney.edu/students,Consult Directory,Visit laneyathletics.com/directory,Consult Directory,Visit laneyathletics.com/directory
Lassen College,https://www.cccapply.org/en/,https://www.lassen.edu/students,Consult Directory,Visit lassenathletics.com/directory,Consult Directory,Visit lassenathletics.com/directory
Los Medanos College,https://www.cccapply.org/en/,https://www.losmedanos.edu/students,Consult Directory,Visit losmedanosathletics.com/directory,Consult Directory,Visit losmedanosathletics.com/directory
Marin College,https://www.cccapply.org/en/,https://www.marin.edu/students,Consult Directory,Visit marinathletics.com/directory,Consult Directory,Visit marinathletics.com/directory
Mendocino College,https://www.cccapply.org/en/,https://www.mendocino.edu/students,Consult Directory,Visit mendocinoathletics.com/directory,Consult Directory,Visit mendocinoathletics.com/directory
Merced College,https://www.cccapply.org/en/,https://www.merced.edu/students,Consult Directory,Visit mercedathletics.com/directory,Consult Directory,Visit mercedathletics.com/directory
Modesto College,https://www.cccapply.org/en/,https://www.modesto.edu/students,Consult Directory,Visit modestoathletics.com/directory,Consult Directory,Visit modestoathletics.com/directory
Monterey Peninsula College,https://www.cccapply.org/en/,https://www.montereypeninsula.edu/students,Consult Directory,Visit montereypeninsulaathletics.com/directory,Consult Directory,Visit montereypeninsulaathletics.com/directory
Napa Valley College,https://www.cccapply.org/en/,https://www.napavalley.edu/students,Consult Directory,Visit napavalleyathletics.com/directory,Consult Directory,Visit napavalleyathletics.com/directory
Ohlone College,https://www.cccapply.org/en/,https://www.ohlone.edu/students,Consult Directory,Visit ohloneathletics.com/directory,Consult Directory,Visit ohloneathletics.com/directory
Redwoods College,https://www.cccapply.org/en/,https://www.redwoods.edu/students,Consult Directory,Visit redwoodsathletics.com/directory,Consult Directory,Visit redwoodsathletics.com/directory
Shasta College,https://www.cccapply.org/en/,https://www.shasta.edu/students,Consult Directory,Visit shastaathletics.com/directory,Consult Directory,Visit shastaathletics.com/directory
Sierra College,https://www.cccapply.org/en/,https://www.sierra.edu/students,Consult Directory,Visit sierraathletics.com/directory,Consult Directory,Visit sierraathletics.com/directory
Skyline College,https://www.cccapply.org/en/,https://www.skyline.edu/students,Consult Directory,Visit skylineathletics.com/directory,Consult Directory,Visit skylineathletics.com/directory
Solano College,https://www.cccapply.org/en/,https://www.solano.edu/students,Consult Directory,Visit solanoathletics.com/directory,Consult Directory,Visit solanoathletics.com/directory
West Valley College,https://www.cccapply.org/en/,https://www.westvalley.edu/students,Consult Directory,Visit westvalleyathletics.com/directory,Consult Directory,Visit westvalleyathletics.com/directory
Yuba College,https://www.cccapply.org/en/,https://www.yuba.edu/students,Consult Directory,Visit yubaathletics.com/directory,Consult Directory,Visit yubaathletics.com/directory
Antelope Valley College,https://www.cccapply.org/en/,https://www.antelopevalley.edu/students,Consult Directory,Visit antelopevalleyathletics.com/directory,Consult Directory,Visit antelopevalleyathletics.com/directory
Bakersfield College,https://www.cccapply.org/en/,https://www.bakersfield.edu/students,Consult Directory,Visit bakersfieldathletics.com/directory,Consult Directory,Visit bakersfieldathletics.com/directory
Barstow College,https://www.cccapply.org/en/,https://www.barstow.edu/students,Consult Directory,Visit barstowathletics.com/directory,Consult Directory,Visit barstowathletics.com/directory
Cerro Coso College,https://www.cccapply.org/en/,https://www.cerrocoso.edu/students,Consult Directory,Visit cerrocosoathletics.com/directory,Consult Directory,Visit cerrocosoathletics.com/directory
Chaffey College,https://www.cccapply.org/en/,https://www.chaffey.edu/students,Consult Directory,Visit chaffeyathletics.com/directory,Consult Directory,Visit chaffeyathletics.com/directory
Canyons College,https://www.cccapply.org/en/,https://www.canyons.edu/students,Consult Directory,Visit canyonsathletics.com/directory,Consult Directory,Visit canyonsathletics.com/directory
Desert College,https://www.cccapply.org/en/,https://www.desert.edu/students,Consult Directory,Visit desertathletics.com/directory,Consult Directory,Visit desertathletics.com/directory
Compton College,https://www.cccapply.org/en/,https://www.compton.edu/students,Consult Directory,Visit comptonathletics.com/directory,Consult Directory,Visit comptonathletics.com/directory
Cuesta College,https://www.cccapply.org/en/,https://www.cuesta.edu/students,Consult Directory,Visit cuestaathletics.com/directory,Consult Directory,Visit cuestaathletics.com/directory
Cypress College,https://www.cccapply.org/en/,https://www.cypress.edu/students,Consult Directory,Visit cypressathletics.com/directory,Consult Directory,Visit cypressathletics.com/directory
East LA College,https://www.cccapply.org/en/,https://www.eastla.edu/students,Consult Directory,Visit eastlaathletics.com/directory,Consult Directory,Visit eastlaathletics.com/directory
El Camino College,https://www.cccapply.org/en/,https://www.elcamino.edu/students,Consult Directory,Visit elcaminoathletics.com/directory,Consult Directory,Visit elcaminoathletics.com/directory
Glendale College,https://www.cccapply.org/en/,https://www.glendale.edu/students,Consult Directory,Visit glendaleathletics.com/directory,Consult Directory,Visit glendaleathletics.com/directory
Golden West College,https://www.cccapply.org/en/,https://www.goldenwest.edu/students,Consult Directory,Visit goldenwestathletics.com/directory,Consult Directory,Visit goldenwestathletics.com/directory
Imperial Valley College,https://www.cccapply.org/en/,https://www.imperialvalley.edu/students,Consult Directory,Visit imperialvalleyathletics.com/directory,Consult Directory,Visit imperialvalleyathletics.com/directory
Irvine Valley College,https://www.cccapply.org/en/,https://www.irvinevalley.edu/students,Consult Directory,Visit irvinevalleyathletics.com/directory,Consult Directory,Visit irvinevalleyathletics.com/directory
LA Harbor College,https://www.cccapply.org/en/,https://www.laharbor.edu/students,Consult Directory,Visit laharborathletics.com/directory,Consult Directory,Visit laharborathletics.com/directory
LA Mission College,https://www.cccapply.org/en/,https://www.lamission.edu/students,Consult Directory,Visit lamissionathletics.com/directory,Consult Directory,Visit lamissionathletics.com/directory
LA Pierce College,https://www.cccapply.org/en/,https://www.lapierce.edu/students,Consult Directory,Visit lapierceathletics.com/directory,Consult Directory,Visit lapierceathletics.com/directory
LA Valley College,https://www.cccapply.org/en/,https://www.lavalley.edu/students,Consult Directory,Visit lavalleyathletics.com/directory,Consult Directory,Visit lavalleyathletics.com/directory
Long Beach City College,https://www.cccapply.org/en/,https://www.longbeachcity.edu/students,Consult Directory,Visit longbeachcityathletics.com/directory,Consult Directory,Visit longbeachcityathletics.com/directory
Moorpark College,https://www.cccapply.org/en/,https://www.moorpark.edu/students,Consult Directory,Visit moorparkathletics.com/directory,Consult Directory,Visit moorparkathletics.com/directory
Mt. SAC College,https://www.cccapply.org/en/,https://www.mt.sac.edu/students,Consult Directory,Visit mt.sacathletics.com/directory,Consult Directory,Visit mt.sacathletics.com/directory
Mt. San Jacinto College,https://www.cccapply.org/en/,https://www.mt.sanjacinto.edu/students,Consult Directory,Visit mt.sanjacintoathletics.com/directory,Consult Directory,Visit mt.sanjacintoathletics.com/directory
Oxnard College,https://www.cccapply.org/en/,https://www.oxnard.edu/students,Consult Directory,Visit oxnardathletics.com/directory,Consult Directory,Visit oxnardathletics.com/directory
Palomar College,https://www.cccapply.org/en/,https://www.palomar.edu/students,Consult Directory,Visit palomarathletics.com/directory,Consult Directory,Visit palomarathletics.com/directory
Rio Hondo College,https://www.cccapply.org/en/,https://www.riohondo.edu/students,Consult Directory,Visit riohondoathletics.com/directory,Consult Directory,Visit riohondoathletics.com/directory
Riverside City College,https://www.cccapply.org/en/,https://www.riversidecity.edu/students,Consult Directory,Visit riversidecityathletics.com/directory,Consult Directory,Visit riversidecityathletics.com/directory
San Bernardino Valley College,https://www.cccapply.org/en/,https://www.sanbernardinovalley.edu/students,Consult Directory,Visit sanbernardinovalleyathletics.com/directory,Consult Directory,Visit sanbernardinovalleyathletics.com/directory
San Diego City College,https://www.cccapply.org/en/,https://www.sandiegocity.edu/students,Consult Directory,Visit sandiegocityathletics.com/directory,Consult Directory,Visit sandiegocityathletics.com/directory
